num_expediente;fecha;hora;localizacion;numero;Combinada;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga;Ciudad;latitud;longitud
2022S000142;2022-01-04;15:00:00;CALL. CARTAGENA / CALL. AZCONA;32;CALL. CARTAGENA / CALL. AZCONA,32,Madrid;4.0;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;;;443136.559;4476117.37;N;;Madrid;40.4337550755201;-3.670421413798223
2022S000142;2022-01-04;15:00:00;CALL. CARTAGENA / CALL. AZCONA;32;CALL. CARTAGENA / CALL. AZCONA,32,Madrid;4.0;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;;;443136.559;4476117.37;N;;Madrid;40.4337550755201;-3.670421413798223
2022S000165;2022-01-05;08:50:00;CALL. VELAZQUEZ,55;55;CALL. VELAZQUEZ,55,55,Madrid;4.0;SALAMANCA;Caída;Despejado;Camión rígido;Conductor;De 55 a 59 años;Hombre;14.0;Sin asistencia sanitaria;441990.256;4475530.344;N;;Madrid;40.42838769920387;-3.683881877064669
2022S000165;2022-01-05;08:50:00;CALL. VELAZQUEZ,55;55;CALL. VELAZQUEZ,55,55,Madrid;4.0;SALAMANCA;Caída;Despejado;Motocicleta hasta 125cc;Conductor;De 45 a 49 años;Mujer;7.0;Asistencia sanitaria sólo en el lugar del accidente;441990.256;4475530.344;N;;Madrid;40.42838769920387;-3.683881877064669
2022S000171;2022-01-05;10:20:00;PASEO. CASTELLANA / CALL. HERMANOS BECQUER;52;PASEO. CASTELLANA / CALL. HERMANOS BECQUER,52,Madrid;4.0;SALAMANCA;Caída;Despejado;Motocicleta hasta 125cc;Conductor;De 25 a 29 años;Hombre;;;441581.649;4476365.463;N;;Madrid;40.435882254791274;-3.6887754079376465
2022S000171;2022-01-05;10:20:00;PASEO. CASTELLANA / CALL. HERMANOS BECQUER;52;PASEO. CASTELLANA / CALL. HERMANOS BECQUER,52,Madrid;4.0;SALAMANCA;Caída;Despejado;Otros vehículos con motor;Conductor;De 55 a 59 años;Hombre;;;441581.649;4476365.463;N;;Madrid;40.435882254791274;-3.6887754079376465
2022S000175;2022-01-05;13:47:00;CALL. GENERAL PARDIÑAS,47;47;CALL. GENERAL PARDIÑAS,47,47,Madrid;4.0;SALAMANCA;Alcance;Despejado;Turismo;Conductor;De 45 a 49 años;Hombre;;;442467.889;4475682.051;N;;Madrid;40.429787521524446;-3.6782651261456047
2022S000175;2022-01-05;13:47:00;CALL. GENERAL PARDIÑAS,47;47;CALL. GENERAL PARDIÑAS,47,47,Madrid;4.0;SALAMANCA;Alcance;Despejado;VMU eléctrico;Conductor;De 21 a 24 años;Hombre;;;442467.889;4475682.051;N;;Madrid;40.429787521524446;-3.6782651261456047
2022S000196;2022-01-05;18:30:00;PLAZA. MARQUES DE SALAMANCA / CALL. JOSE ORTEGA Y GASSET;5;PLAZA. MARQUES DE SALAMANCA / CALL. JOSE ORTEGA Y GASSET,5,Madrid;4.0;SALAMANCA;Colisión fronto-lateral;LLuvia intensa;Motocicleta > 125cc;Conductor;De 45 a 49 años;Mujer;7.0;Asistencia sanitaria sólo en el lugar del accidente;442337.821;4475754.956;N;;Madrid;40.43043527992877;-3.679805052020858
2022S000196;2022-01-05;18:30:00;PLAZA. MARQUES DE SALAMANCA / CALL. JOSE ORTEGA Y GASSET;5;PLAZA. MARQUES DE SALAMANCA / CALL. JOSE ORTEGA Y GASSET,5,Madrid;4.0;SALAMANCA;Colisión fronto-lateral;LLuvia intensa;Turismo;Conductor;De 60 a 64 años;Hombre;14.0;Sin asistencia sanitaria;442337.821;4475754.956;N;;Madrid;40.43043527992877;-3.679805052020858
2022S000208;2022-01-05;20:20:00;CALL. SERRANO / CALL. HERMOSILLA;25;CALL. SERRANO / CALL. HERMOSILLA,25,Madrid;4.0;SALAMANCA;Caída;LLuvia intensa;Ciclomotor;Conductor;De 25 a 29 años;Hombre;7.0;Asistencia sanitaria sólo en el lugar del accidente;441667.45;4475347.642;N;;Madrid;40.42671925806822;-3.6876704417480783
2022S000215;2022-01-05;21:55:00;CALL. SERRANO / COLPB. MAESTRO PADILLA;71;CALL. SERRANO / COLPB. MAESTRO PADILLA,71,Madrid;4.0;SALAMANCA;Caída;LLuvia intensa;Motocicleta > 125cc;Conductor;De 25 a 29 años;Mujer;7.0;Asistencia sanitaria sólo en el lugar del accidente;441756.533;4476128.125;N;;Madrid;40.433756467189745;-3.686691845655281
2022S000249;2022-01-05;16:00:00;CALL. JUAN BRAVO / CALL. SERRANO;3;CALL. JUAN BRAVO / CALL. SERRANO,3,Madrid;4.0;SALAMANCA;Caída;Lluvia débil;Motocicleta > 125cc;Conductor;De 40 a 44 años;Hombre;14.0;Sin asistencia sanitaria;441779.769;4476046.965;N;;Madrid;40.433026965921464;-3.686410476647746
2022S000304;2022-01-07;16:47:00;CALL. SERRANO / CALL. AYALA;35;CALL. SERRANO / CALL. AYALA,35,Madrid;4.0;SALAMANCA;Alcance;Despejado;Autobús;Conductor;De 35 a 39 años;Hombre;;;441685.596;4475480.979;N;;Madrid;40.427921694686;-3.6874687672821107
2022S000304;2022-01-07;16:47:00;CALL. SERRANO / CALL. AYALA;35;CALL. SERRANO / CALL. AYALA,35,Madrid;4.0;SALAMANCA;Alcance;Despejado;Turismo;Conductor;De 60 a 64 años;Mujer;;;441685.596;4475480.979;N;;Madrid;40.427921694686;-3.6874687672821107
2022S000357;2022-01-08;15:15:00;CALL. PRINCIPE DE VERGARA / CALL. MARIA DE MOLINA;94;CALL. PRINCIPE DE VERGARA / CALL. MARIA DE MOLINA,94,Madrid;4.0;SALAMANCA;Colisión fronto-lateral;Despejado;Autobús;Conductor;De 50 a 54 años;Hombre;;;442408.885;4476519.744;N;;Madrid;40.43732978922788;-3.67903660601342
2022S000357;2022-01-08;15:15:00;CALL. PRINCIPE DE VERGARA / CALL. MARIA DE MOLINA;94;CALL. PRINCIPE DE VERGARA / CALL. MARIA DE MOLINA,94,Madrid;4.0;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 21 a 24 años;Mujer;;;442408.885;4476519.744;N;;Madrid;40.43732978922788;-3.67903660601342
2022S000357;2022-01-08;15:15:00;CALL. PRINCIPE DE VERGARA / CALL. MARIA DE MOLINA;94;CALL. PRINCIPE DE VERGARA / CALL. MARIA DE MOLINA,94,Madrid;4.0;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 50 a 54 años;Mujer;;;442408.885;4476519.744;N;;Madrid;40.43732978922788;-3.67903660601342
2022S000392;2022-01-09;04:45:00;CALL. ALCALA,200B;200B;CALL. ALCALA,200B,200B,Madrid;4.0;SALAMANCA;Atropello a persona;Despejado;Turismo;Conductor;De 45 a 49 años;Hombre;14.0;Sin asistencia sanitaria;443709.208;4475761.635;N;1.0;Madrid;40.43058938265049;-3.6636387940093655
2022S000392;2022-01-09;04:45:00;CALL. ALCALA,200B;200B;CALL. ALCALA,200B,200B,Madrid;4.0;SALAMANCA;Atropello a persona;Despejado;Turismo;Peatón;De 18 a 20 años;Hombre;4.0;Fallecido 24 horas;443709.208;4475761.635;N;;Madrid;40.43058938265049;-3.6636387940093655
2022S000408;2022-01-09;09:50:00;CALL. ANTONIA RUIZ SORO,24;24;CALL. ANTONIA RUIZ SORO,24,24,Madrid;4.0;SALAMANCA;Choque contra obstáculo fijo;;Motocicleta hasta 125cc;Conductor;Desconocido;Desconocido;;;443554.865;4476609.498;N;;Madrid;40.43821691068235;-3.6655336049153395
2022S000408;2022-01-09;09:50:00;CALL. ANTONIA RUIZ SORO,24;24;CALL. ANTONIA RUIZ SORO,24,24,Madrid;4.0;SALAMANCA;Choque contra obstáculo fijo;;Motocicleta hasta 125cc;Conductor;Desconocido;Desconocido;;;443554.865;4476609.498;N;;Madrid;40.43821691068235;-3.6655336049153395
2022S000408;2022-01-09;09:50:00;CALL. ANTONIA RUIZ SORO,24;24;CALL. ANTONIA RUIZ SORO,24,24,Madrid;4.0;SALAMANCA;Choque contra obstáculo fijo;;Motocicleta hasta 125cc;Conductor;Desconocido;Desconocido;;;443554.865;4476609.498;N;;Madrid;40.43821691068235;-3.6655336049153395
2022S000408;2022-01-09;09:50:00;CALL. ANTONIA RUIZ SORO,24;24;CALL. ANTONIA RUIZ SORO,24,24,Madrid;4.0;SALAMANCA;Choque contra obstáculo fijo;;Motocicleta hasta 125cc;Conductor;Desconocido;Desconocido;;;443554.865;4476609.498;N;;Madrid;40.43821691068235;-3.6655336049153395
2022S000408;2022-01-09;09:50:00;CALL. ANTONIA RUIZ SORO,24;24;CALL. ANTONIA RUIZ SORO,24,24,Madrid;4.0;SALAMANCA;Choque contra obstáculo fijo;;Turismo;Conductor;De 25 a 29 años;Hombre;;;443554.865;4476609.498;S;;Madrid;40.43821691068235;-3.6655336049153395
2022S000408;2022-01-09;09:50:00;CALL. ANTONIA RUIZ SORO,24;24;CALL. ANTONIA RUIZ SORO,24,24,Madrid;4.0;SALAMANCA;Choque contra obstáculo fijo;;Turismo;Conductor;Desconocido;Desconocido;;;443554.865;4476609.498;N;;Madrid;40.43821691068235;-3.6655336049153395
2022S000408;2022-01-09;09:50:00;CALL. ANTONIA RUIZ SORO,24;24;CALL. ANTONIA RUIZ SORO,24,24,Madrid;4.0;SALAMANCA;Choque contra obstáculo fijo;;Turismo;Conductor;Desconocido;Desconocido;;;443554.865;4476609.498;N;;Madrid;40.43821691068235;-3.6655336049153395
2022S000408;2022-01-09;09:50:00;CALL. ANTONIA RUIZ SORO,24;24;CALL. ANTONIA RUIZ SORO,24,24,Madrid;4.0;SALAMANCA;Choque contra obstáculo fijo;;Turismo;Conductor;Desconocido;Desconocido;;;443554.865;4476609.498;N;;Madrid;40.43821691068235;-3.6655336049153395
2022S000408;2022-01-09;09:50:00;CALL. ANTONIA RUIZ SORO,24;24;CALL. ANTONIA RUIZ SORO,24,24,Madrid;4.0;SALAMANCA;Choque contra obstáculo fijo;;Turismo;Pasajero;De 30 a 34 años;Hombre;;;443554.865;4476609.498;N;;Madrid;40.43821691068235;-3.6655336049153395
2022S000415;2022-01-09;13:35:00;CALL. JORGE JUAN / CALL. FERNAN GONZALEZ;89;CALL. JORGE JUAN / CALL. FERNAN GONZALEZ,89,Madrid;4.0;SALAMANCA;Atropello a persona;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;14.0;Sin asistencia sanitaria;442808.908;4474958.2;N;;Madrid;40.42329021705066;-3.6741798908570047
2022S000415;2022-01-09;13:35:00;CALL. JORGE JUAN / CALL. FERNAN GONZALEZ;89;CALL. JORGE JUAN / CALL. FERNAN GONZALEZ,89,Madrid;4.0;SALAMANCA;Atropello a persona;Despejado;Turismo;Peatón;De 35 a 39 años;Mujer;7.0;Asistencia sanitaria sólo en el lugar del accidente;442808.908;4474958.2;N;;Madrid;40.42329021705066;-3.6741798908570047
2022S000416;2022-01-09;14:20:00;CALL. ALCALA,69;69;CALL. ALCALA,69,69,Madrid;4.0;SALAMANCA;Colisión lateral;Despejado;Bicicleta;Conductor;De 10 a 14 años;Hombre;;;441492.182;4474597.275;N;;Madrid;40.419947278363686;-3.6896674562088316
2022S000416;2022-01-09;14:20:00;CALL. ALCALA,69;69;CALL. ALCALA,69,69,Madrid;4.0;SALAMANCA;Colisión lateral;Despejado;Turismo;Conductor;De 70 a 74 años;Hombre;;;441492.182;4474597.275;N;;Madrid;40.419947278363686;-3.6896674562088316
2022S000416;2022-01-09;14:20:00;CALL. ALCALA,69;69;CALL. ALCALA,69,69,Madrid;4.0;SALAMANCA;Colisión lateral;Despejado;Turismo;Pasajero;De 35 a 39 años;Mujer;;;441492.182;4474597.275;N;;Madrid;40.419947278363686;-3.6896674562088316
2022S000416;2022-01-09;14:20:00;CALL. ALCALA,69;69;CALL. ALCALA,69,69,Madrid;4.0;SALAMANCA;Colisión lateral;Despejado;Turismo;Pasajero;De 65 a 69 años;Mujer;;;441492.182;4474597.275;N;;Madrid;40.419947278363686;-3.6896674562088316
2022S000462;2022-01-10;15:50:00;CALL. GENERAL ORAA,26;26;CALL. GENERAL ORAA,26,26,Madrid;4.0;SALAMANCA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;14.0;Sin asistencia sanitaria;441989.063;4476395.244;N;;Madrid;40.43617905442602;-3.683974880598938
2022S000462;2022-01-10;15:50:00;CALL. GENERAL ORAA,26;26;CALL. GENERAL ORAA,26,26,Madrid;4.0;SALAMANCA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;441989.063;4476395.244;N;;Madrid;40.43617905442602;-3.683974880598938
2022S000474;2022-01-10;15:10:00;CALL. DOCTOR ESQUERDO / CALL. JORGE JUAN;34;CALL. DOCTOR ESQUERDO / CALL. JORGE JUAN,34,Madrid;4.0;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 40 a 44 años;Hombre;;;443248.913;4474924.826;N;;Madrid;40.42301969469469;-3.66899038308348
2022S000474;2022-01-10;15:10:00;CALL. DOCTOR ESQUERDO / CALL. JORGE JUAN;34;CALL. DOCTOR ESQUERDO / CALL. JORGE JUAN,34,Madrid;4.0;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 60 a 64 años;Hombre;;;443248.913;4474924.826;N;;Madrid;40.42301969469469;-3.66899038308348
2022S000474;2022-01-10;15:10:00;CALL. DOCTOR ESQUERDO / CALL. JORGE JUAN;34;CALL. DOCTOR ESQUERDO / CALL. JORGE JUAN,34,Madrid;4.0;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 55 a 59 años;Mujer;;;443248.913;4474924.826;N;;Madrid;40.42301969469469;-3.66899038308348
2022S000478;2022-01-10;14:50:00;AUTOV. M-30,+00700I PK 7,900;+00700I;AUTOV. M-30,+00700I PK 7,900,+00700I,Madrid;4.0;SALAMANCA;Colisión lateral;Despejado;Turismo;Conductor;De 40 a 44 años;Hombre;;;444100.174;4474933.773;N;;Madrid;40.423157921023716;-3.658957010656498
2022S000478;2022-01-10;14:50:00;AUTOV. M-30,+00700I PK 7,900;+00700I;AUTOV. M-30,+00700I PK 7,900,+00700I,Madrid;4.0;SALAMANCA;Colisión lateral;Despejado;Turismo;Conductor;De 40 a 44 años;Mujer;;;444100.174;4474933.773;N;;Madrid;40.423157921023716;-3.658957010656498
2022S000479;2022-01-10;18:20:00;AUTOV. M-30,+00600I;+00600I;AUTOV. M-30,+00600I,+00600I,Madrid;4.0;SALAMANCA;Alcance;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;;;443968.945;4475981.5;N;;Madrid;40.432587579285304;-3.6605962067936133
2022S000479;2022-01-10;18:20:00;AUTOV. M-30,+00600I;+00600I;AUTOV. M-30,+00600I,+00600I,Madrid;4.0;SALAMANCA;Alcance;Despejado;Turismo;Conductor;De 25 a 29 años;Mujer;;;443968.945;4475981.5;N;;Madrid;40.432587579285304;-3.6605962067936133
2022S000492;2022-01-11;02:50:00;CALL. VELAZQUEZ,87;87;CALL. VELAZQUEZ,87,87,Madrid;4.0;SALAMANCA;Choque contra obstáculo fijo;Despejado;Motocicleta hasta 125cc;Conductor;Desconocido;Desconocido;;;442040.213;4476093.883;N;;Madrid;40.433467815667385;-3.6833443552374048
2022S000492;2022-01-11;02:50:00;CALL. VELAZQUEZ,87;87;CALL. VELAZQUEZ,87,87,Madrid;4.0;SALAMANCA;Choque contra obstáculo fijo;Despejado;Motocicleta hasta 125cc;Conductor;Desconocido;Desconocido;;;442040.213;4476093.883;N;;Madrid;40.433467815667385;-3.6833443552374048
2022S000492;2022-01-11;02:50:00;CALL. VELAZQUEZ,87;87;CALL. VELAZQUEZ,87,87,Madrid;4.0;SALAMANCA;Choque contra obstáculo fijo;Despejado;Todo terreno;Conductor;Desconocido;Desconocido;;;442040.213;4476093.883;N;;Madrid;40.433467815667385;-3.6833443552374048
2022S000492;2022-01-11;02:50:00;CALL. VELAZQUEZ,87;87;CALL. VELAZQUEZ,87,87,Madrid;4.0;SALAMANCA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;14.0;Sin asistencia sanitaria;442040.213;4476093.883;S;;Madrid;40.433467815667385;-3.6833443552374048
2022S000492;2022-01-11;02:50:00;CALL. VELAZQUEZ,87;87;CALL. VELAZQUEZ,87,87,Madrid;4.0;SALAMANCA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;442040.213;4476093.883;N;;Madrid;40.433467815667385;-3.6833443552374048
2022S000494;2022-01-11;02:50:00;AVDA. BRASILIA / AVDA. BADAJOZ;33;AVDA. BRASILIA / AVDA. BADAJOZ,33,Madrid;4.0;SALAMANCA;Choque contra obstáculo fijo;;Turismo;Conductor;Desconocido;Desconocido;;;443949.745;4476908.398;N;;Madrid;40.44093626517407;-3.660904315006409
2022S000502;2022-01-10;12:50:00;CALL. GOYA,131;131;CALL. GOYA,131,131,Madrid;4.0;SALAMANCA;Colisión lateral;Despejado;Motocicleta hasta 125cc;Conductor;De 45 a 49 años;Mujer;2.0;Ingreso inferior o igual a 24 horas;443141.27;4475100.68;N;;Madrid;40.424596530563925;-3.6702749376263397
2022S000502;2022-01-10;12:50:00;CALL. GOYA,131;131;CALL. GOYA,131,131,Madrid;4.0;SALAMANCA;Colisión lateral;Despejado;Turismo;Conductor;De 65 a 69 años;Mujer;14.0;Sin asistencia sanitaria;443141.27;4475100.68;N;;Madrid;40.424596530563925;-3.6702749376263397
2022S000502;2022-01-10;12:50:00;CALL. GOYA,131;131;CALL. GOYA,131,131,Madrid;4.0;SALAMANCA;Colisión lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;443141.27;4475100.68;N;;Madrid;40.424596530563925;-3.6702749376263397
2022S000511;2022-01-11;12:10:00;CALL. MAESTRO ALONSO,24;24;CALL. MAESTRO ALONSO,24,24,Madrid;4.0;SALAMANCA;Otro;Despejado;Turismo;Conductor;De 40 a 44 años;Mujer;;;443712.742;4475420.633;N;;Madrid;40.427517695914226;-3.663566938751766
2022S000543;2022-01-11;21:00:00;CALL. DIEGO DE LEON,51;51;CALL. DIEGO DE LEON,51,51,Madrid;4.0;SALAMANCA;Colisión lateral;;Turismo;Conductor;De 25 a 29 años;Hombre;14.0;Sin asistencia sanitaria;442495.339;4476226.343;N;;Madrid;40.43469267185435;-3.6779907748172205
2022S000543;2022-01-11;21:00:00;CALL. DIEGO DE LEON,51;51;CALL. DIEGO DE LEON,51,51,Madrid;4.0;SALAMANCA;Colisión lateral;;Turismo;Conductor;De 35 a 39 años;Mujer;14.0;Sin asistencia sanitaria;442495.339;4476226.343;N;;Madrid;40.43469267185435;-3.6779907748172205
2022S000543;2022-01-11;21:00:00;CALL. DIEGO DE LEON,51;51;CALL. DIEGO DE LEON,51,51,Madrid;4.0;SALAMANCA;Colisión lateral;;Turismo;Pasajero;De 6 a 9 años;Mujer;;;442495.339;4476226.343;N;;Madrid;40.43469267185435;-3.6779907748172205
2022S000545;2022-01-12;00:30:00;CALL. GOYA / CALL. SERRANO;9;CALL. GOYA / CALL. SERRANO,9,Madrid;4.0;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 35 a 39 años;Hombre;;;441639.964;4475192.727;N;;Madrid;40.425321780637155;-3.6879802265674404
2022S000545;2022-01-12;00:30:00;CALL. GOYA / CALL. SERRANO;9;CALL. GOYA / CALL. SERRANO,9,Madrid;4.0;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;;;441639.964;4475192.727;N;;Madrid;40.425321780637155;-3.6879802265674404
2022S000553;2022-01-11;14:30:00;CALL. CARTAGENA / CALL. AZCONA;32;CALL. CARTAGENA / CALL. AZCONA,32,Madrid;4.0;SALAMANCA;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;De 40 a 44 años;Hombre;6.0;Asistencia sanitaria inmediata en centro de salud o mutua;443127.625;4476120.166;N;;Madrid;40.433779652457595;-3.670526989246813
